"ID","name","fa_loans_debt_avg_d"
"1","Alabama A & M University",38819
"2","University of Alabama at Birmingham",30642
"3","University of Alabama in Huntsville",29421
"4","Alabama State University",32629
"5","The University of Alabama",29320
"8","Auburn University",27146
"10","University of West Alabama",31901
"11","University of Montevallo",27090
"12","University of North Alabama",29839
"15","Amridge University",10500
"16","Birmingham Southern College",31872
"18","Faulkner University",29000
"19","Huntingdon College",28322
"23","University of Mobile",28250
"25","Samford University",26543
"27","Spring Hill College",31855
"31","Tuskegee University",26500
"34","University of Alaska Anchorage",26569
"35","University of Alaska Fairbanks",29906
"38","Alaska Pacific University",8922
"39","Arizona State University-Tempe",21920
"40","University of Arizona",22761
"42","Northern Arizona University",23602
"43","Arizona State University-West",18585
"44","Arizona State University-Polytechnic",26463
"45","Arizona State University-Downtown Phoenix",22498
"52","Prescott College",24651
"53","Arizona Christian University",26228
"58","University of Arkansas",24120
"60","Arkansas State University-Main Campus",25000
"61","Arkansas Tech University",29865
"64","Henderson State University",23641
"68","Lyon College",22321
"71","Harding University",24120
"72","Hendrix College",26203
"73","John Brown University",24525
"74","Ouachita Baptist University",24252
"76","Philander Smith College",35968
"77","Williams Baptist College",20077
"80","California State University-Bakersfield",11735
"82","California State University-San Bernardino",20077
"83","California State Polytechnic University-Pomona",22245
"85","California State University-Dominguez Hills",16768
"86","California State University-Fresno",12851
"87","California State University-Fullerton",14965
"88","California State University-East Bay",18684
"89","California State University-Long Beach",16579
"90","California State University-Los Angeles",14788
"92","California State University-Sacramento",25482
"93","University of California-Berkeley",17584
"94","University of California-Davis",19705
"95","University of California-Irvine",20319
"96","University of California-Los Angeles",20759
"97","University of California-Riverside",21166
"98","University of California-San Diego",21790
"99","University of California-Santa Barbara",21045
"100","University of California-Santa Cruz",22583
"102","Humboldt State University",19351
"103","San Diego State University",18400
"104","San Francisco State University",22741
"105","San Jose State University",23467
"106","Sonoma State University",20744
"107","California State University-San Marcos",22024
"108","California State University-Monterey Bay",18992
"110","University of California-Merced",20408
"112","Azusa Pacific University",20612
"114","Biola University",34107
"116","California Baptist University",33409
"117","California College of the Arts",34237
"118","California Institute of Technology",12104
"119","California Lutheran University",24230
"120","Alliant International University",15000
"122","California Institute of the Arts",38770
"123","Chapman University",27979
"125","Concordia University-Irvine",28072
"127","Claremont McKenna College",23232
"131","Fresno Pacific University",21992
"133","Harvey Mudd College",24503
"137","American Jewish University",30000
"139","University of La Verne",28215
"140","Laguna College of Art and Design",38000
"143","La Sierra University",36251
"145","The Master's College and Seminary",26442
"146","Loyola Marymount University",30243
"147","Marymount California University",9421
"148","Menlo College",29943
"149","Mills College",31273
"151","Mount St Mary's College",34576
"152","National University",12076
"154","Notre Dame de Namur University",31348
"155","Occidental College",29962
"156","Otis College of Art and Design",33694
"157","Hope International University",24091
"163","Pepperdine University",31884
"164","Pitzer College",19422
"165","Point Loma Nazarene University",32649
"166","Pomona College",16273
"169","University of San Diego",30225
"170","San Francisco Art Institute",25931
"171","San Francisco Conservatory of Music",24500
"172","University of San Francisco",31098
"173","William Jessup University",23636
"174","Santa Clara University",26759
"175","Scripps College",20060
"177","Simpson University",28161
"178","Saint Mary's College of California",32803
"181","Southern California Institute of Architecture",39287
"182","University of Southern California",28541
"183","Thomas Aquinas College",16263
"185","Westmont College",34428
"186","Whittier College",37379
"187","Woodbury University",40699
"189","Stanford University",19230
"193","Soka University of America",19563
"208","Adams State University",30211
"209","University of Colorado Denver",21502
"210","University of Colorado Colorado Springs",19780
"211","University of Colorado Boulder",25126
"213","Colorado School of Mines",23667
"214","Colorado State University-Fort Collins",23721
"215","Fort Lewis College",19507
"216","Colorado Mesa University",26740
"217","Metropolitan State University of Denver",28468
"218","University of Northern Colorado",25446
"219","Colorado State University-Pueblo",29914
"221","Western State Colorado University",21251
"224","Colorado College",19756
"226","University of Denver",29050
"227","Naropa University",23755
"228","Nazarene Bible College",33289
"229","Regis University",28461
"235","Central Connecticut State University",24000
"237","University of Connecticut",24999
"238","Eastern Connecticut State University",26921
"239","Southern Connecticut State University",23781
"242","Albertus Magnus College",33975
"243","University of Bridgeport",21200
"244","Connecticut College",28321
"246","Fairfield University",27918
"251","University of New Haven",43472
"252","Quinnipiac University",45711
"253","Sacred Heart University",45746
"254","University of Saint Joseph",37557
"256","Trinity College",28237
"257","Wesleyan University",22959
"258","Yale University",14853
"259","Delaware State University",38702
"260","University of Delaware",32705
"269","Gallaudet University",15970
"270","George Washington University",31337
"271","Georgetown University",22464
"272","Howard University",32071
"276","University of Central Florida",23378
"280","Florida Agricultural and Mechanical University",31407
"281","Florida Atlantic University",21448
"284","Florida State University",24347
"285","University of Florida",20642
"291","University of North Florida",19253
"300","University of South Florida-Main Campus",22611
"303","New College of Florida",17553
"304","Florida Gulf Coast University",22718
"307","The Baptist College of Florida",17258
"308","Barry University",38342
"309","Bethune-Cookman University",23525
"310","Lynn University",30938
"311","Carlos Albizu University-Miami",16500
"314","Eckerd College",33697
"317","Flagler College-St Augustine",27853
"320","Florida Institute of Technology",40383
"322","Florida Southern College",24314
"328","University of Miami",26793
"331","Nova Southeastern University",31022
"332","Palm Beach Atlantic University",27374
"333","Ringling College of Art and Design",43685
"334","Rollins College",26689
"335","Saint Leo University",27436
"338","Stetson University",32302
"341","The University of Tampa",33673
"343","Trinity College of Florida",28201
"345","Webber International University",24578
"348","Hodges University",17775
"349","Beacon College",27000
"350","Everglades University",60735
"365","Albany State University",39014
"366","Armstrong Atlantic State University",19806
"369","Clayton  State University",30423
"370","Columbus State University",30142
"374","Georgia Institute of Technology-Main Campus",24891
"375","Georgia Southwestern State University",23450
"376","Georgia College and State University",21919
"377","Georgia Southern University",24201
"378","Georgia State University",27295
"379","University of Georgia",21638
"381","Kennesaw State University",24740
"384","Valdosta State University",27308
"385","University of West Georgia",27494
"392","Agnes Scott College",27763
"395","Berry College",23997
"397","Brenau University",33376
"400","Covenant College",24215
"401","Emmanuel College",29202
"402","Emory University",24741
"403","LaGrange College",32574
"404","Life University",30000
"405","Mercer University",30018
"406","Morehouse College",35807
"407","Oglethorpe University",24058
"409","Piedmont College",23481
"410","Reinhardt University",23235
"411","Savannah College of Art and Design",36088
"413","Spelman College",35516
"416","Truett-McConnell College",13508
"417","Wesleyan College",32755
"422","University of Hawaii at Manoa",24277
"425","Chaminade University of Honolulu",26323
"430","Boise State University",27024
"431","Idaho State University",26445
"432","University of Idaho",25753
"433","Lewis-Clark State College",18065
"435","The College of Idaho",29998
"436","Northwest Nazarene University",27657
"441","Eastern Illinois University",31219
"443","University of Illinois at Chicago",23158
"445","Illinois State University",30373
"446","Northern Illinois University",33234
"447","Northeastern Illinois University",13366
"448","University of Illinois at Springfield",23507
"449","Southern Illinois University-Carbondale",30138
"450","Southern Illinois University-Edwardsville",27681
"451","Western Illinois University",28785
"452","School of the Art Institute of Chicago",42097
"453","Augustana College",31612
"456","Blessing Rieman College of Nursing",8475
"457","Bradley University",27277
"458","University of Chicago",23223
"460","Concordia University-Chicago",32408
"461","DePaul University",27498
"463","Elmhurst College",28068
"464","Eureka College",30194
"465","Greenville College",28452
"468","Benedictine University",26750
"469","Illinois Wesleyan University",32101
"470","Illinois College",22958
"471","Illinois Institute of Technology",31877
"473","Knox College",29085
"475","Lakeview College of Nursing",25000
"476","Lewis University",33748
"477","Lincoln Christian University",25578
"479","Loyola University Chicago",31089
"481","MacMurray College",50039
"482","McKendree University",21731
"484","Millikin University",31989
"485","Monmouth College",31154
"489","North Central College",32086
"491","Northwestern University",19864
"492","Olivet Nazarene University",32906
"493","Principia College",23732
"494","Quincy University",27857
"495","Robert Morris University Illinois",31562
"496","Rockford University",39619
"498","Dominican University",29235
"501","University of St Francis",29418
"504","Shimer College",25125
"508","Trinity Christian College",30996
"510","VanderCook College of Music",38861
"512","Wheaton College",25939
"514","Ball State University",27627
"515","Indiana University-Purdue University-Fort Wayne",29452
"516","Indiana University-Purdue University-Indianapolis",31010
"517","University of Southern Indiana",25732
"518","Indiana State University",26256
"519","Indiana University-Kokomo",26651
"520","Indiana University-South Bend",29919
"521","Indiana University-Bloomington",27300
"522","Indiana University-Northwest",33790
"523","Indiana University-Southeast",26594
"524","Indiana University-East",29952
"525","Purdue University-Calumet Campus",28600
"528","Purdue University-Main Campus",28343
"531","Butler University",35797
"532","Calumet College of Saint Joseph",30847
